Date,Dive,Site,Site_Depth_m,Transect,Species,Size_cm
5/25/2023,Snorkel,Honaunau_2,2,2,Chlorurus spilurus,15
5/25/2023,Snorkel,Honaunau_2,2,2,Chlorurus spilurus,14
5/25/2023,Snorkel,Honaunau_2,2,3,n/a,n/a
5/25/2023,Snorkel,Honaunau_2,2,4,Chlorurus spilurus,21
5/25/2023,Snorkel,Honaunau_2,2,4,Chlorurus spilurus,16
5/25/2023,Snorkel,Honaunau_2,2,5,Scarus psittacus,20
5/25/2023,Snorkel,Honaunau_2,2,5,Chlorurus spilurus,17
5/25/2023,Snorkel,Honaunau_2,2,5,Calotomus carolinus,13
5/25/2023,Snorkel,Honaunau_2,2,6,n/a,n/a
5/25/2023,Snorkel,Honaunau_1,2,1,n/a,n/a
5/25/2023,Snorkel,Honaunau_1,2,2,Calotomus carolinus,15
5/25/2023,Snorkel,Honaunau_1,2,2,Chlorurus spilurus,16
5/25/2023,Snorkel,Honaunau_1,2,3,n/a,n/a
5/25/2023,Snorkel,Honaunau_1,2,4,n/a,n/a
5/25/2023,Snorkel,Honaunau_1,2,5,Chlorurus spilurus,8
5/25/2023,Snorkel,Honaunau_1,2,5,Chlorurus spilurus,9
5/25/2023,Snorkel,Honaunau_1,2,5,Scarus psittacus,10
5/25/2023,Snorkel,Honaunau_1,2,5,Chlorurus spilurus,15
5/25/2023,Snorkel,Honaunau_1,2,5,Chlorurus spilurus,17
5/25/2023,Snorkel,Honaunau_1,2,6,Chlorurus spilurus,11
