Date,Dive,Site,Site_Depth_m,Transect,Taxa,Intercept,Rugosity,Cover
5/13/2023,1,Honaunau_1,6,L6,Pavona varians,182,,14
5/13/2023,1,Honaunau_1,6,L6,Carbonate,192,,10
5/13/2023,1,Honaunau_1,6,L6,Pavona varians,205,,13
5/13/2023,1,Honaunau_1,6,L6,Sand,210,,5
5/13/2023,1,Honaunau_1,6,L6,Carbonate,241,241,31
5/13/2023,1,Honaunau_1,6,K5,Pavona varians,27,,27
5/13/2023,1,Honaunau_1,6,K5,Carbonate,29,,2
5/13/2023,1,Honaunau_1,6,K5,Pavona varians,31,,2
5/13/2023,1,Honaunau_1,6,K5,Carbonate,62,,31
5/13/2023,1,Honaunau_1,6,K5,Pavona varians,67,,5
5/13/2023,1,Honaunau_1,6,K5,Carbonate,175,,108
5/13/2023,1,Honaunau_1,6,K5,Porites lobata,192,,17
5/13/2023,1,Honaunau_1,6,K5,Carbonate,210,,18
5/13/2023,1,Honaunau_1,6,K5,Porites lobata,214,,4
5/13/2023,1,Honaunau_1,6,K5,Carbonate,219,,5
5/13/2023,1,Honaunau_1,6,K5,Porites lobata,231,,12
5/13/2023,1,Honaunau_1,6,K5,Carbonate,241,,10
5/13/2023,1,Honaunau_1,6,K5,Porites lobata,251,,10
5/13/2023,1,Honaunau_1,6,K5,Carbonate,275,275,24
5/13/2023,1,Honaunau_1,6,L6,Carbonate,4,,4
5/13/2023,1,Honaunau_1,6,L6,Porites lobata,21,,17
5/13/2023,1,Honaunau_1,6,L6,Carbonate,162,,141
5/13/2023,1,Honaunau_1,6,L6,Porites lobata,176,,14
5/13/2023,1,Honaunau_1,6,L6,Sand,191,,15
5/13/2023,1,Honaunau_1,6,L6,Carbonate,214,,23
5/13/2023,1,Honaunau_1,6,L6,Porites lobata,231,231,17
5/13/2023,1,Honaunau_1,6,L7,Sand,200,200,200
5/13/2023,1,Honaunau_1,6,K6,Carbonate,104,,104
5/13/2023,1,Honaunau_1,6,K6,Porites lobata,115,,11
5/13/2023,1,Honaunau_1,6,K6,Carbonate,118,,3
5/13/2023,1,Honaunau_1,6,K6,Porites lobata,167,,49
5/13/2023,1,Honaunau_1,6,K6,Sand,222,,55
5/13/2023,1,Honaunau_1,6,K6,Carbonate,275,275,53
5/13/2023,1,Honaunau_1,6,K7,Carbonate,12,,12
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,43,,31
5/13/2023,1,Honaunau_1,6,K7,Carbonate,51,,8
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,69,,18
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,75,,6
5/13/2023,1,Honaunau_1,6,K7,Porites compressa,92,,17
5/13/2023,1,Honaunau_1,6,K7,Carbonate,161,,69
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,170,,9
5/13/2023,1,Honaunau_1,6,K7,Carbonate,179,,9
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,183,,4
5/13/2023,1,Honaunau_1,6,K7,Carbonate,193,,10
5/13/2023,1,Honaunau_1,6,K7,Porites lobata,253,,60
5/13/2023,1,Honaunau_1,6,K7,Carbonate,265,265,12
5/13/2023,1,Honaunau_1,6,L8,Carbonate,41,,41
5/13/2023,1,Honaunau_1,6,L8,Porites lobata,122,,81
5/13/2023,1,Honaunau_1,6,L8,Porites lobata,136,,14
5/13/2023,1,Honaunau_1,6,L8,Carbonate,188,,52
5/13/2023,1,Honaunau_1,6,L8,Porites lobata,207,,19
5/13/2023,1,Honaunau_1,6,L8,Carbonate,235,235,28
5/13/2023,1,Honaunau_1,6,K8,Carbonate,5,,5
5/13/2023,1,Honaunau_1,6,K8,Pavona varians,22,,17
5/13/2023,1,Honaunau_1,6,K8,Porites lobata,46,,24
5/13/2023,1,Honaunau_1,6,K8,Carbonate,51,,5
5/13/2023,1,Honaunau_1,6,K8,Porites lobata,55,,4
5/13/2023,1,Honaunau_1,6,K8,Carbonate,77,,22
5/13/2023,1,Honaunau_1,6,K8,Porites compressa,82,,5
5/13/2023,1,Honaunau_1,6,K8,Carbonate,91,,9
5/13/2023,1,Honaunau_1,6,K8,Porites compressa,110,,19
5/13/2023,1,Honaunau_1,6,K8,Porites lobata,145,,35
5/13/2023,1,Honaunau_1,6,K8,Porites lobata,230,,85
5/13/2023,1,Honaunau_1,6,K8,Carbonate,247,247,17
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,21,,21
5/13/2023,2,Honaunau_1,6,L9,Carbonate,23,,2
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,39,,16
5/13/2023,2,Honaunau_1,6,L9,Carbonate,68,,29
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,75,,7
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,82,,7
5/13/2023,2,Honaunau_1,6,L9,Carbonate,92,,10
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,103,,11
5/13/2023,2,Honaunau_1,6,L9,Carbonate,105,,2
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,138,,33
5/13/2023,2,Honaunau_1,6,L9,Carbonate,154,,16
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,196,,42
5/13/2023,2,Honaunau_1,6,L9,Carbonate,197,,1
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,261,,64
5/13/2023,2,Honaunau_1,6,L9,Carbonate,263,,2
5/13/2023,2,Honaunau_1,6,L9,Porites lobata,302,302,39
5/13/2023,2,Honaunau_1,6,L10,Carbonate,61,,61
5/13/2023,2,Honaunau_1,6,L10,Porites lobata,63,,2
5/13/2023,2,Honaunau_1,6,L10,Carbonate,82,,19
5/13/2023,2,Honaunau_1,6,L10,Porites lobata,85,,3
5/13/2023,2,Honaunau_1,6,L10,Carbonate,192,,107
5/13/2023,2,Honaunau_1,6,L10,Porites lobata,195,,3
5/13/2023,2,Honaunau_1,6,L10,Carbonate,230,,35
5/13/2023,2,Honaunau_1,6,L10,Porites lobata,235,235,5
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,20,,20
5/13/2023,2,Honaunau_1,6,K9,Carbonate,23,,3
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,62,,39
5/13/2023,2,Honaunau_1,6,K9,Carbonate,68,,6
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,91,,23
5/13/2023,2,Honaunau_1,6,K9,Carbonate,125,,34
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,159,,34
5/13/2023,2,Honaunau_1,6,K9,Carbonate,192,,33
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,253,,61
5/13/2023,2,Honaunau_1,6,K9,Carbonate,260,,7
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,268,,8
5/13/2023,2,Honaunau_1,6,K9,Carbonate,271,,3
5/13/2023,2,Honaunau_1,6,K9,Porites lobata,295,295,24
5/13/2023,2,Honaunau_1,6,L11,Porites lobata,19,,19
5/13/2023,2,Honaunau_1,6,L11,Pavona varians,26,,7
5/13/2023,2,Honaunau_1,6,L11,Carbonate,32,,6
5/13/2023,2,Honaunau_1,6,L11,Pavona varians,35,,3
5/13/2023,2,Honaunau_1,6,L11,Carbonate,49,,14
5/13/2023,2,Honaunau_1,6,L11,Pavona varians,62,,13
5/13/2023,2,Honaunau_1,6,L11,Carbonate,69,,7
5/13/2023,2,Honaunau_1,6,L11,Porites lobata,75,,6
5/13/2023,2,Honaunau_1,6,L11,Pavona varians,82,,7
5/13/2023,2,Honaunau_1,6,L11,Carbonate,105,,23
5/13/2023,2,Honaunau_1,6,L11,Porites compressa,108,,3
5/13/2023,2,Honaunau_1,6,L11,Carbonate,235,,127
5/13/2023,2,Honaunau_1,6,L11,Pavona varians,245,,10
5/13/2023,2,Honaunau_1,6,L11,Carbonate,260,,15
5/13/2023,2,Honaunau_1,6,L11,Porites lobata,265,265,5
5/13/2023,2,Honaunau_1,6,L12,Carbonate,32,,32
5/13/2023,2,Honaunau_1,6,L12,Porites lobata,45,,13
5/13/2023,2,Honaunau_1,6,L12,Pavona varians,65,,20
5/13/2023,2,Honaunau_1,6,L12,Carbonate,253,253,188
5/13/2023,2,Honaunau_1,6,L13,Carbonate,72,,72
5/13/2023,2,Honaunau_1,6,L13,Porites lobata,74,,2
5/13/2023,2,Honaunau_1,6,L13,Pavona varians,78,,4
5/13/2023,2,Honaunau_1,6,L13,Carbonate,84,,6
5/13/2023,2,Honaunau_1,6,L13,Pavona varians,92,,8
5/13/2023,2,Honaunau_1,6,L13,Carbonate,253,253,161
5/13/2023,2,Honaunau_1,6,K10,Carbonate,60,,60
5/13/2023,2,Honaunau_1,6,K10,Porites lobata,80,,20
5/13/2023,2,Honaunau_1,6,K10,Carbonate,140,,60
5/13/2023,2,Honaunau_1,6,K10,Porites lobata,170,,30
5/13/2023,2,Honaunau_1,6,K10,Carbonate,200,,30
5/13/2023,2,Honaunau_1,6,K10,Porites lobata,235,235,35
5/13/2023,2,Honaunau_1,6,L14,Pavona varians,50,,50
5/13/2023,2,Honaunau_1,6,L14,Carbonate,130,,80
5/13/2023,2,Honaunau_1,6,L14,Pavona varians,180,,50
5/13/2023,2,Honaunau_1,6,L14,Porites compressa,185,,5
5/13/2023,2,Honaunau_1,6,L14,Pavona varians,220,220,35
5/13/2023,2,Honaunau_1,6,L15,Carbonate,30,,30
5/13/2023,2,Honaunau_1,6,L15,Pavona varians,40,,10
5/13/2023,2,Honaunau_1,6,L15,Carbonate,60,,20
5/13/2023,2,Honaunau_1,6,L15,Porites lobata,200,,140
5/13/2023,2,Honaunau_1,6,L15,Pavona varians,240,,40
5/13/2023,2,Honaunau_1,6,L15,Carbonate,300,300,60
5/13/2023,3,Honaunau_1,6,K11,Carbonate,86,,86
5/13/2023,3,Honaunau_1,6,K11,Porites lobata,105,,19
5/13/2023,3,Honaunau_1,6,K11,Porites compressa,122,,17
5/13/2023,3,Honaunau_1,6,K11,Carbonate,125,,3
5/13/2023,3,Honaunau_1,6,K11,Porites compressa,141,,16
5/13/2023,3,Honaunau_1,6,K11,Carbonate,150,,9
5/13/2023,3,Honaunau_1,6,K11,Porites compressa,175,,25
5/13/2023,3,Honaunau_1,6,K11,Porites lobata,215,,40
5/13/2023,3,Honaunau_1,6,K11,Carbonate,219,,4
5/13/2023,3,Honaunau_1,6,K11,Porites lobata,242,242,23
5/13/2023,3,Honaunau_1,6,L16,Carbonate,122,,122
5/13/2023,3,Honaunau_1,6,L16,Pavona varians,129,,7
5/13/2023,3,Honaunau_1,6,L16,Porites lobata,150,,21
5/13/2023,3,Honaunau_1,6,L16,Carbonate,162,,12
5/13/2023,3,Honaunau_1,6,L16,Porites lobata,167,,5
5/13/2023,3,Honaunau_1,6,L16,Carbonate,185,,18
5/13/2023,3,Honaunau_1,6,L16,Pavona varians,193,,8
5/13/2023,3,Honaunau_1,6,L16,Carbonate,205,,12
5/13/2023,3,Honaunau_1,6,L16,Pavona varians,212,,7
5/13/2023,3,Honaunau_1,6,L16,Carbonate,252,252,40
5/13/2023,3,Honaunau_1,6,K12,Sand,145,,145
5/13/2023,3,Honaunau_1,6,K12,Carbonate,215,215,70
5/13/2023,3,Honaunau_1,6,L17,Carbonate,55,,55
5/13/2023,3,Honaunau_1,6,L17,Montipora flabellata,59,,70
5/13/2023,3,Honaunau_1,6,L17,Carbonate,232,,173
5/13/2023,3,Honaunau_1,6,L17,Porites lobata,254,,22
5/13/2023,3,Honaunau_1,6,L17,Carbonate,262,262,8
5/13/2023,3,Honaunau_1,6,K13,Carbonate,39,,39
5/13/2023,3,Honaunau_1,6,K13,Pavona varians,42,,3
5/13/2023,3,Honaunau_1,6,K13,Carbonate,242,,200
5/13/2023,3,Honaunau_1,6,K13,Sand,265,265,23
5/13/2023,4,Honaunau_1,3,K1,Carbonate,58,,58
5/13/2023,4,Honaunau_1,3,K1,Porites lobata,65,,7
5/13/2023,4,Honaunau_1,3,K1,Carbonate,81,,16
5/13/2023,4,Honaunau_1,3,K1,Porites lobata,85,,4
5/13/2023,4,Honaunau_1,3,K1,Carbonate,102,,17
5/13/2023,4,Honaunau_1,3,K1,Porites lobata,110,,8
5/13/2023,4,Honaunau_1,3,K1,Carbonate,152,,42
5/13/2023,4,Honaunau_1,3,K1,Montipora flabellata,154,,2
5/13/2023,4,Honaunau_1,3,K1,Carbonate,215,,61
5/13/2023,4,Honaunau_1,3,K1,Porites lobata,230,,15
5/13/2023,4,Honaunau_1,3,K1,Carbonate,252,,22
5/13/2023,4,Honaunau_1,3,K1,Porites lobata,261,261,9
5/13/2023,4,Honaunau_1,3,L1,Carbonate,13,,13
5/13/2023,4,Honaunau_1,3,L1,Pavona varians,15,,2
5/13/2023,4,Honaunau_1,3,L1,Carbonate,40,,25
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,55,,15
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,107,,52
5/13/2023,4,Honaunau_1,3,L1,Carbonate,121,,14
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,193,,72
5/13/2023,4,Honaunau_1,3,L1,Carbonate,252,,59
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,264,,12
5/13/2023,4,Honaunau_1,3,L1,Carbonate,275,,11
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,295,,20
5/13/2023,4,Honaunau_1,3,L1,Carbonate,305,,10
5/13/2023,4,Honaunau_1,3,L1,Porites lobata,312,312,7
5/13/2023,4,Honaunau_1,3,K2,Carbonate,73,,73
5/13/2023,4,Honaunau_1,3,K2,Porites lobata,126,,53
5/13/2023,4,Honaunau_1,3,K2,Carbonate,134,,8
5/13/2023,4,Honaunau_1,3,K2,Porites lobata,195,,61
5/13/2023,4,Honaunau_1,3,K2,Carbonate,262,,67
5/13/2023,4,Honaunau_1,3,K2,Porites lobata,264,,2
5/13/2023,4,Honaunau_1,3,K2,Carbonate,275,275,11
5/13/2023,4,Honaunau_1,3,L2,Carbonate,54,,54
5/13/2023,4,Honaunau_1,3,L2,Porites lobata,115,,61
5/13/2023,4,Honaunau_1,3,L2,Carbonate,153,,38
5/13/2023,4,Honaunau_1,3,L2,Porites lobata,165,,12
5/13/2023,4,Honaunau_1,3,L2,Carbonate,167,,2
5/13/2023,4,Honaunau_1,3,L2,Porites lobata,190,,23
5/13/2023,4,Honaunau_1,3,L2,Carbonate,256,256,66
5/13/2023,4,Honaunau_1,3,L3,Carbonate,28,,28
5/13/2023,4,Honaunau_1,3,L3,Porites lobata,72,,44
5/13/2023,4,Honaunau_1,3,L3,Carbonate,175,,103
5/13/2023,4,Honaunau_1,3,L3,Porites lobata,230,230,55
5/13/2023,4,Honaunau_1,3,K3,Carbonate,21,,21
5/13/2023,4,Honaunau_1,3,K3,Porites lobata,47,,26
5/13/2023,4,Honaunau_1,3,K3,Carbonate,62,,15
5/13/2023,4,Honaunau_1,3,K3,Porites lobata,65,,3
5/13/2023,4,Honaunau_1,3,K3,Carbonate,121,,56
5/13/2023,4,Honaunau_1,3,K3,Porites lobata,139,,18
5/13/2023,4,Honaunau_1,3,K3,Carbonate,148,,9
5/13/2023,4,Honaunau_1,3,K3,Porites lobata,162,,14
5/13/2023,4,Honaunau_1,3,K3,Carbonate,173,,11
5/13/2023,4,Honaunau_1,3,K3,Porites lobata,185,,12
5/13/2023,4,Honaunau_1,3,K3,Carbonate,225,225,40
5/13/2023,4,Honaunau_1,3,L4,Carbonate,15,,15
5/13/2023,4,Honaunau_1,3,L4,Porites lobata,22,,7
5/13/2023,4,Honaunau_1,3,L4,Carbonate,41,,19
5/13/2023,4,Honaunau_1,3,L4,Porites lobata,82,,41
5/13/2023,4,Honaunau_1,3,L4,Carbonate,84,,2
5/13/2023,4,Honaunau_1,3,L4,Porites lobata,136,,52
5/13/2023,4,Honaunau_1,3,L4,Carbonate,137,,1
5/13/2023,4,Honaunau_1,3,L4,Porites lobata,187,,50
5/13/2023,4,Honaunau_1,3,L4,Carbonate,222,222,35
5/13/2023,4,Honaunau_1,3,K4,Porites lobata,18,,18
5/13/2023,4,Honaunau_1,3,K4,Carbonate,20,,2
5/13/2023,4,Honaunau_1,3,K4,Porites lobata,32,,12
5/13/2023,4,Honaunau_1,3,K4,Carbonate,53,,21
5/13/2023,4,Honaunau_1,3,K4,Porites lobata,79,,26
5/13/2023,4,Honaunau_1,3,K4,Carbonate,242,242,163
5/13/2023,4,Honaunau_1,3,L5,Carbonate,162,,162
5/13/2023,4,Honaunau_1,3,L5,Porites lobata,167,,5
5/13/2023,4,Honaunau_1,3,L5,Carbonate,235,235,68
5/13/2023,4,Honaunau_1,3,K5,Porites lobata,20,,20
5/13/2023,4,Honaunau_1,3,K5,Carbonate,250,,230
5/13/2023,4,Honaunau_1,3,K5,Porites lobata,264,,14
5/13/2023,4,Honaunau_1,3,K5,Carbonate,278,278,14
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,54,,54
5/13/2023,4,Honaunau_1,3,L6,Carbonate,67,,13
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,73,,6
5/13/2023,4,Honaunau_1,3,L6,Carbonate,96,,23
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,102,,6
5/13/2023,4,Honaunau_1,3,L6,Carbonate,152,,50
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,175,,23
5/13/2023,4,Honaunau_1,3,L6,Carbonate,206,,31
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,222,,16
5/13/2023,4,Honaunau_1,3,L6,Carbonate,235,,13
5/13/2023,4,Honaunau_1,3,L6,Porites lobata,256,,21
5/13/2023,4,Honaunau_1,3,L6,Carbonate,259,259,3
5/13/2023,4,Honaunau_1,3,L7,Carbonate,97,,97
5/13/2023,4,Honaunau_1,3,L7,Porites lobata,103,,6
5/13/2023,4,Honaunau_1,3,L7,Carbonate,133,,30
5/13/2023,4,Honaunau_1,3,L7,Porites lobata,137,,4
5/13/2023,4,Honaunau_1,3,L7,Carbonate,152,,15
5/13/2023,4,Honaunau_1,3,L7,Porites lobata,165,,13
5/13/2023,4,Honaunau_1,3,L7,Carbonate,261,,96
5/13/2023,4,Honaunau_1,3,L7,Porites lobata,272,,11
5/13/2023,4,Honaunau_1,3,L7,Carbonate,285,,13
5/13/2023,4,Honaunau_1,3,L7,Pavona varians,293,,8
5/13/2023,4,Honaunau_1,3,L7,Carbonate,302,302,9
5/13/2023,4,Honaunau_1,3,K6,Carbonate,29,,29
5/13/2023,4,Honaunau_1,3,K6,Porites lobata,63,,34
5/13/2023,4,Honaunau_1,3,K6,Carbonate,72,,9
5/13/2023,4,Honaunau_1,3,K6,Pavona varians,75,,3
5/13/2023,4,Honaunau_1,3,K6,Carbonate,120,,45
5/13/2023,4,Honaunau_1,3,K6,Porites lobata,145,,25
5/13/2023,4,Honaunau_1,3,K6,Carbonate,175,,30
5/13/2023,4,Honaunau_1,3,K6,Porites lobata,185,,10
5/13/2023,4,Honaunau_1,3,K6,Carbonate,224,224,39
5/13/2023,4,Honaunau_1,3,L8,Carbonate,72,,72
5/13/2023,4,Honaunau_1,3,L8,Porites lobata,96,,24
5/13/2023,4,Honaunau_1,3,L8,Carbonate,173,,77
5/13/2023,4,Honaunau_1,3,L8,Porites lobata,177,,4
5/13/2023,4,Honaunau_1,3,L8,Carbonate,195,,18
5/13/2023,4,Honaunau_1,3,L8,Porites lobata,204,,9
5/13/2023,4,Honaunau_1,3,L8,Carbonate,215,215,11
5/13/2023,4,Honaunau_1,3,K7,Porites lobata,47,,47
5/13/2023,4,Honaunau_1,3,K7,Carbonate,79,,32
5/13/2023,4,Honaunau_1,3,K7,Porites lobata,121,,42
5/13/2023,4,Honaunau_1,3,K7,Carbonate,255,255,134
5/13/2023,4,Honaunau_1,3,L9,Carbonate,61,,61
5/13/2023,4,Honaunau_1,3,L9,Porites lobata,72,,11
5/13/2023,4,Honaunau_1,3,L9,Carbonate,275,275,203
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,34,,34
5/13/2023,4,Honaunau_1,3,K8,Carbonate,41,,7
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,62,,21
5/13/2023,4,Honaunau_1,3,K8,Carbonate,161,,99
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,164,,3
5/13/2023,4,Honaunau_1,3,K8,Carbonate,172,,8
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,179,,7
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,185,,6
5/13/2023,4,Honaunau_1,3,K8,Carbonate,204,,19
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,208,,4
5/13/2023,4,Honaunau_1,3,K8,Carbonate,238,,30
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,268,,30
5/13/2023,4,Honaunau_1,3,K8,Carbonate,276,,8
5/13/2023,4,Honaunau_1,3,K8,Porites lobata,285,,9
5/13/2023,4,Honaunau_1,3,K8,Carbonate,305,305,20
5/13/2023,4,Honaunau_1,3,K9,Porites lobata,101,,101
5/13/2023,4,Honaunau_1,3,K9,Carbonate,135,,34
5/13/2023,4,Honaunau_1,3,K9,Porites lobata,147,,12
5/13/2023,4,Honaunau_1,3,K9,Carbonate,172,,25
5/13/2023,4,Honaunau_1,3,K9,Porites lobata,210,210,38
5/13/2023,4,Honaunau_1,3,L10,Carbonate,231,,231
